probe_id	probeset_id
165565	23086930
113173	23086930
277288	23086930
142696	23086930
87439	23086930
195777	23086930
248498	23086930
232122	23086930
267104	23086930
43067	23086930
292736	23087068
136768	23087068
948	23087068
105209	23087068
34619	23087068
16728	23087068
230451	23087068
189765	23087068
183998	23087068
252805	23087068
271785	23087074
86825	23087074
133370	23087074
89896	23087074
7684	23087074
32644	23087074
102824	23087074
73251	23087074
231855	23087074
222244	23087074
12063	23087163
79115	23087163
37767	23087163
188941	23087163
193050	23087163
77415	23087163
54904	23087163
273219	23087163
66873	23087163
64640	23087163
57246	23087274
76703	23087274
144257	23087274
39603	23087274
79032	23087274
283665	23087274
87383	23087274
230072	23087274
115160	23087274
95161	23087274
136859	23087338
249482	23087338
71842	23087338
196391	23087338
80451	23087338
243365	23087338
7285	23087338
182588	23087338
109850	23087338
223128	23087338
283245	23087404
265167	23087404
147946	23087404
237270	23087404
15302	23087404
272877	23087404
285029	23087404
298289	23087404
235545	23087404
152101	23087404
144218	23087425
220329	23087425
15576	23087425
280629	23087425
253268	23087425
299436	23087425
217479	23087425
108844	23087425
264884	23087425
288511	23087425
109656	23087426
69810	23087426
216890	23087426
68524	23087426
229080	23087426
72131	23087426
276118	23087426
38	23087426
272048	23087426
140982	23087426
140179	23087440
95535	23087440
73207	23087440
139540	23087440
187341	23087440
106336	23087440
79047	23087440
116921	23087440
135570	23087440
155087	23087440
249291	23087474
241885	23087474
229151	23087474
285557	23087474
240642	23087474
123746	23087474
200813	23087474
140080	23087474
60832	23087474
176326	23087474
217094	23087661
57098	23087661
135550	23087661
203589	23087661
209383	23087661
103984	23087661
92540	23087661
129421	23087661
86829	23087661
33164	23087661
64206	23087738
14792	23087738
242353	23087738
219876	23087738
133695	23087738
32200	23087738
133008	23087738
261156	23087738
128169	23087738
196172	23087738
121588	23087753
215704	23087753
204829	23087753
190857	23087753
193424	23087753
122935	23087753
81170	23087753
206838	23087753
169223	23087753
270351	23087753
81126	23087890
52016	23087890
73276	23087890
40319	23087890
44833	23087890
288704	23087890
87988	23087890
274789	23087890
115536	23087890
211765	23087890
137953	23087951
244949	23087951
161715	23087951
285363	23087951
80177	23087951
3775	23087951
265943	23087951
286141	23087951
164972	23087951
227141	23087951
63676	23087985
295940	23087985
299336	23087985
289654	23087985
107127	23087985
98149	23087985
69895	23087985
112336	23087985
193164	23087985
235408	23087985
58240	23088006
15766	23088006
15920	23088006
167848	23088006
113383	23088006
118591	23088006
33834	23088006
114065	23088006
273938	23088006
256367	23088006
152811	23088010
127864	23088010
121960	23088010
130252	23088010
110035	23088010
270094	23088010
240529	23088010
158783	23088010
130219	23088010
164517	23088010
254530	23088118
48481	23088118
273133	23088118
85122	23088118
50642	23088118
178909	23088118
270656	23088118
277691	23088118
22971	23088118
167287	23088118
187544	23088120
101853	23088120
237103	23088120
57074	23088120
32425	23088120
178151	23088120
248458	23088120
29947	23088120
